feature,mean_importance
Country_Australia,-0.04071226966858195
Unemployment Rate (%),-0.03536935668328582
Country_USA,-0.01013898460494067
Country_China,-0.008242530059015252
Country_Canada,-0.006717609076660258
Stock Index Value,-0.005781691327672966
Country_Germany,-0.0034394957398999003
Country_Japan,-0.0019020035741251552
Country_UK,0.0002916312668826304
Country_France,0.0025549491398952906
Country_Brazil,0.0034531597511684
Interest Rate (%),0.00654251509503605
Country_India,0.007095581997001643
GDP Growth Rate (%),0.008089505138549358
