feature,mean_importance
Stock Index Value,-0.013106689906425028
Interest Rate (%),-0.010070804014307688
Country_Brazil,-0.0021009161141286813
Country_USA,-0.001700096082427427
Country_France,-0.0009101800838880348
Country_Australia,-0.000728512054683872
Country_UK,-0.0004623829229365217
Country_Japan,0.0
Country_Germany,5.867843918685445e-05
Country_China,0.0007562668620669566
Country_Canada,0.0010333056429344457
Country_India,0.002076775898342742
Unemployment Rate (%),0.027290162787402393
GDP Growth Rate (%),0.02756578785757191
