feature,mean_importance
Country_Brazil,-0.01879415366708561
Country_USA,-0.016751610380063408
GDP Growth Rate (%),-0.01161853263447874
Unemployment Rate (%),-0.009732783270506973
Country_Canada,-0.00864255919163619
Country_Germany,-0.00576796936038626
Stock Index Value,-0.0030987306919898925
Country_Australia,-0.002168366249654863
Country_Japan,5.321249460905619e-05
Country_UK,0.0003059774658990211
Country_France,0.0020872512829691824
Country_India,0.004367217176065763
Country_China,0.007539605167467389
Interest Rate (%),0.010571790871127251
