feature,mean_importance
Country_Japan,-0.0153628863348237
Country_China,-0.0013593653589136113
Country_Germany,-6.337173590220679e-06
Country_Australia,0.0
Country_France,0.0004703393907064646
Country_UK,0.0005450245957927535
Country_Canada,0.001669401088296052
Country_Brazil,0.0017785195602565862
Country_India,0.0029672970623293216
Country_USA,0.0076529985561406555
Stock Index Value,0.025201569553612035
GDP Growth Rate (%),0.029090647508915636
Interest Rate (%),0.05099050141786345
Unemployment Rate (%),0.1178523081336162
