feature,mean_importance
Stock Index Value,-0.005046343200079706
Country_Canada,-0.0024473905691085873
Country_Germany,-0.0020834162047642657
Country_Brazil,-0.0010466448547622464
Country_Australia,-0.0002769780878522088
Country_India,0.0
Country_UK,0.0
Country_Japan,0.0001727403844587805
Country_USA,0.0005915049826050068
Country_China,0.0006604858381855205
Country_France,0.0027539246141654815
GDP Growth Rate (%),0.023087505844879508
Interest Rate (%),0.04694621324202395
Unemployment Rate (%),0.04866506724192936
