feature,shap_importance
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.030114058
Interest Rate (%),0.027983788
Interest Rate (%)_ratio_Stock Index Value,0.027625492
Stock Index Value_multiply_GDP Growth Rate (%),0.027167603
Stock Index Value,0.024869286
Unemployment Rate (%),0.022979768
Interest Rate (%)_multiply_GDP Growth Rate (%),0.017849738
Interest Rate (%)_sum_Unemployment Rate (%),0.015809469
GDP Growth Rate (%)_ratio_Stock Index Value,0.014894254
Stock Index Value_ratio_GDP Growth Rate (%),0.013626024
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.012231148
GDP Growth Rate (%),0.007627481
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.0072476617
Stock Index Value_ratio_Interest Rate (%),0.0055698026
Country_USA,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Country_UK,0.0
