feature,mean_importance
Interest Rate (%),-0.033955104850681074
GDP Growth Rate (%),-0.0036079801198638075
Country_Japan,-0.0032292062016212597
Stock Index Value,-0.0011649699281213622
Country_Brazil,-0.0010109081272435816
Country_India,-0.000775065934019148
Country_Australia,-0.0002344996396751675
Country_China,0.0
Country_UK,0.0
Country_USA,0.001153316245679248
Country_France,0.0029992218447581374
Country_Canada,0.003726921791946136
Country_Germany,0.008144876488588793
Unemployment Rate (%),0.09392400508382495
