feature,mean_importance
Unemployment Rate (%),-0.00774524727419097
Country_Germany,-0.004065558172692896
Country_Brazil,-0.0029127029501128778
GDP Growth Rate (%),-0.002341768035398739
Country_India,-0.0011638260877598894
Country_USA,-0.0007001450490908389
Country_UK,-0.0005688181807516734
Country_China,-0.0004917139033882468
Country_Japan,0.00010477117700982141
Country_Australia,0.00041791032655789093
Country_France,0.0005847453269805181
Stock Index Value,0.0017719812592483341
Country_Canada,0.004383210176924867
Interest Rate (%),0.006632881748167585
