feature,shap_importance
Unemployment Rate (%),0.0871473379635318
Stock Index Value,0.060805553309657236
Interest Rate (%),0.05014766967475948
GDP Growth Rate (%),0.02606279999547248
Country_USA,0.006122053529171321
Country_France,0.004936933208056621
Country_Canada,0.004508308595767307
Country_Japan,0.004087879059977337
Country_Germany,0.00404856679691833
Country_India,0.0023862413652865964
Country_Brazil,0.0017497189854264658
Country_Australia,0.0013994514107702489
Country_China,0.0
Country_UK,0.0
