feature,shap_importance
Interest Rate (%)_ratio_Stock Index Value,0.07812328793690099
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.05285987130782926
Interest Rate (%)_sum_Unemployment Rate (%),0.04830766316710341
Stock Index Value,0.048302482822433795
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.03465208794357285
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.01497498242687563
Country_Germany,0.014803354141121862
Stock Index Value_ratio_GDP Growth Rate (%),0.008431090209413733
GDP Growth Rate (%),0.0
Country_USA,0.0
GDP Growth Rate (%)_ratio_Stock Index Value,0.0
Interest Rate (%)_multiply_GDP Growth Rate (%),0.0
Stock Index Value_multiply_GDP Growth Rate (%),0.0
Country_UK,0.0
Unemployment Rate (%),0.0
Country_Japan,0.0
Country_India,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Interest Rate (%),0.0
Stock Index Value_ratio_Interest Rate (%),0.0
