feature,shap_importance
Interest Rate (%)_ratio_Stock Index Value,0.08106885464504428
Unemployment Rate (%),0.07607409798289953
Interest Rate (%),0.07340871894349317
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.05654519104005121
Stock Index Value_ratio_Interest Rate (%),0.050403225208446104
Stock Index Value_multiply_GDP Growth Rate (%),0.03976424907048394
Interest Rate (%)_sum_Unemployment Rate (%),0.039512181713559864
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.03690625873861889
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.03274636578981985
Country_USA,0.027963911600365064
GDP Growth Rate (%)_ratio_Stock Index Value,0.018142791897465867
Stock Index Value_ratio_GDP Growth Rate (%),0.016768691301418098
GDP Growth Rate (%),0.011887480188892918
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Interest Rate (%)_multiply_GDP Growth Rate (%),0.0
Country_Brazil,0.0
Country_Australia,0.0
Stock Index Value,0.0
Country_UK,0.0
