feature,mean_importance
Interest Rate (%),-0.014844544591803732
Country_UK,-0.00750736863273258
Country_China,-0.004970687524784268
Country_Germany,-0.0007967651792818664
Country_Japan,-0.0006972060055766338
GDP Growth Rate (%),-0.00015293791328669927
Country_Brazil,0.0
Country_Canada,0.0
Country_France,3.0460988940017587e-05
Country_Australia,0.00020311415234921525
Country_USA,0.0020925951215538417
Country_India,0.004137582511928662
Stock Index Value,0.007772729406441803
Unemployment Rate (%),0.012527170975628544
