feature,shap_importance
Unemployment Rate (%),0.0851734146632201
Stock Index Value,0.04174063170417337
GDP Growth Rate (%),0.04050996883704262
Interest Rate (%),0.036748012422990764
Country_USA,0.012197540177283878
Country_Brazil,0.004998906748449723
Country_India,0.004889070814234924
Country_Canada,0.00422709593527159
Country_Japan,0.0012976621570316516
Country_China,0.0010703650095291338
Country_Australia,0.0009476816829265513
Country_Germany,0.0005981806439729031
Country_UK,0.0005750487449054809
Country_France,0.0
