feature,shap_importance
Interest Rate (%),0.052349247
Stock Index Value,0.04525824
Interest Rate (%)_ratio_Stock Index Value,0.038557537
Stock Index Value_multiply_GDP Growth Rate (%),0.038009368
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.03781154
Unemployment Rate (%),0.035507992
Interest Rate (%)_multiply_GDP Growth Rate (%),0.029757546
Stock Index Value_ratio_GDP Growth Rate (%),0.022407893
Interest Rate (%)_sum_Unemployment Rate (%),0.021767342
GDP Growth Rate (%)_ratio_Stock Index Value,0.021120451
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.017796714
Stock Index Value_ratio_Interest Rate (%),0.013787883
GDP Growth Rate (%),0.0114412205
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.010001723
Country_USA,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Country_UK,0.0
