feature,shap_importance
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.0502189999965466
Interest Rate (%)_sum_Unemployment Rate (%),0.04408006336349941
Stock Index Value,0.03249091191557617
Unemployment Rate (%),0.027262042170624116
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.02641106855223436
Stock Index Value_multiply_GDP Growth Rate (%),0.022721122976335818
Stock Index Value_ratio_GDP Growth Rate (%),0.01857743729960238
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.01684998837052856
GDP Growth Rate (%)_ratio_Stock Index Value,0.014165192613063322
GDP Growth Rate (%),0.012518554492097765
Stock Index Value_ratio_Interest Rate (%),0.006940694225400919
Country_USA,0.004686953050107006
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Interest Rate (%)_multiply_GDP Growth Rate (%),0.0
Interest Rate (%)_ratio_Stock Index Value,0.0
Country_Australia,0.0
Interest Rate (%),0.0
Country_UK,0.0
