feature,mean_importance
Interest Rate (%),-0.03044456788415233
Unemployment Rate (%),-0.02552792647630291
Stock Index Value,-0.023780907119749582
GDP Growth Rate (%),-0.009439879593755852
Interest Rate (%)_ratio_Stock Index Value,0.0
Interest Rate (%)_multiply_GDP Growth Rate (%),0.0
Country_UK,0.0
Country_India,0.0
Country_Germany,0.0
Country_Japan,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Country_France,0.0
Stock Index Value_ratio_GDP Growth Rate (%),0.0005691179851200267
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.0017114068687692718
Stock Index Value_ratio_Interest Rate (%),0.0062143817447601005
Stock Index Value_multiply_GDP Growth Rate (%),0.006578494175058891
GDP Growth Rate (%)_ratio_Stock Index Value,0.017475351049674036
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.02587427920856573
Country_USA,0.03256419522905709
Interest Rate (%)_sum_Unemployment Rate (%),0.04116524856810093
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.09855404424301203
