feature,mean_importance
Stock Index Value_multiply_GDP Growth Rate (%),-0.023773661683802016
Unemployment Rate (%)_multiply_GDP Growth Rate (%),-0.01038809457208667
GDP Growth Rate (%)_ratio_Unemployment Rate (%),-0.005071185778716014
GDP Growth Rate (%),-0.004003438959089145
GDP Growth Rate (%)_ratio_Stock Index Value,-0.002873137487453814
Stock Index Value_ratio_Interest Rate (%),-0.002719407065268209
Interest Rate (%)_ratio_Stock Index Value,-0.001020745493699593
Country_Australia,-0.0008104936590999756
Interest Rate (%)_sum_Unemployment Rate (%),-0.0007640757545796184
Country_Canada,0.0
Interest Rate (%)_multiply_GDP Growth Rate (%),0.0
Country_Brazil,0.0
Country_USA,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_UK,0.0
Interest Rate (%),0.0021087255935166916
Stock Index Value,0.0026021697814633702
Stock Index Value_ratio_GDP Growth Rate (%),0.0028412472692023183
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.0030052822989989902
Unemployment Rate (%),0.04255783399356612
