feature,shap_importance
Unemployment Rate (%),0.06588430699981167
GDP Growth Rate (%),0.05180253680218991
Interest Rate (%),0.043863409558379904
Stock Index Value,0.0419915477714442
Country_USA,0.009355724667510244
Country_Canada,0.006588718717982468
Country_Germany,0.005228882472433858
Country_Brazil,0.0026959040931876523
Country_China,0.0025423240084807915
Country_India,0.0023609007025373603
Country_UK,0.0011176377164141707
Country_France,0.0011119503261544281
Country_Australia,0.000757187330944666
Country_Japan,0.0004209444910729582
