feature,mean_importance
Unemployment Rate (%),-0.017619851394085773
Country_UK,-0.010253019779428208
Country_USA,-0.00925614263757244
Country_France,-0.005217545128616363
Country_Brazil,-0.005170232522707208
GDP Growth Rate (%),-0.0041372526691981545
Country_Germany,-0.0013803862829941949
Country_China,0.0007019554593017396
Country_Japan,0.002055462817823939
Country_Canada,0.008258155179598204
Country_India,0.009576706502088018
Stock Index Value,0.018114936086455823
Country_Australia,0.022915459370167656
Interest Rate (%),0.032464693486751274
