feature,shap_importance
Stock Index Value_ratio_Interest Rate (%),0.04065733804601979
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.03889888209740056
Interest Rate (%),0.03449652232093798
Unemployment Rate (%),0.01869645790631475
Stock Index Value,0.01362103574785167
Stock Index Value_multiply_GDP Growth Rate (%),0.011699905193886992
GDP Growth Rate (%),0.011324503558918632
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.009964401784766
Country_Japan,0.008839557582601196
Interest Rate (%)_multiply_GDP Growth Rate (%),0.006840239084203871
Stock Index Value_ratio_GDP Growth Rate (%),0.004311190718376761
Interest Rate (%)_ratio_Stock Index Value,0.0034742668811634774
Country_UK,0.0029949820059524826
GDP Growth Rate (%)_ratio_Stock Index Value,0.0
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.0
Interest Rate (%)_sum_Unemployment Rate (%),0.0
Country_China,0.0
Country_France,0.0
Country_Brazil,0.0
Country_USA,0.0
Country_Canada,0.0
Country_India,0.0
Country_Germany,0.0
Country_Australia,0.0
