feature,mean_importance
Country_USA,-0.019270572310120214
Country_Australia,-0.012870807143039675
Country_France,-0.005777037278434505
Country_China,-0.00019123986984554976
Country_Japan,0.003782807493542828
Unemployment Rate (%),0.010265654369579958
Stock Index Value,0.015826744043689202
Interest Rate (%),0.019437454426072854
Country_Brazil,0.023564350541561873
Country_Canada,0.024963954318916914
Country_Germany,0.03051838854812916
Country_India,0.04026963341215739
Country_UK,0.058137820351816846
GDP Growth Rate (%),0.0642227570132915
