feature,shap_importance
Unemployment Rate (%)_ratio_Interest Rate (%),0.009413058
Stock Index Value,0.007305877
Interest Rate (%),0.003872849
Unemployment Rate (%)_ratio_Stock Index Value,0.0032065418
Interest Rate (%)_ratio_Stock Index Value,0.0029966375
GDP Growth Rate (%)_diff_Interest Rate (%),0.0024086535
GDP Growth Rate (%)_diff_Unemployment Rate (%),0.002294421
GDP Growth Rate (%),0.001877998
Unemployment Rate (%),0.00079588575
Interest Rate (%)_diff_Stock Index Value,0.0
Stock Index Value_ratio_Unemployment Rate (%),0.0
Interest Rate (%)_multiply_Unemployment Rate (%),0.0
Stock Index Value_ratio_Interest Rate (%),0.0
Country_UK,0.0
Country_USA,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
