feature,mean_importance
Unemployment Rate (%)_ratio_Interest Rate (%),-0.012042046733134647
Stock Index Value,-0.006480390512351742
Interest Rate (%)_diff_Stock Index Value,-0.002846626082435355
Country_Canada,-0.0020735167289139154
Country_Japan,0.0
Stock Index Value_ratio_Unemployment Rate (%),0.0
Stock Index Value_ratio_Interest Rate (%),0.0
Country_USA,0.0
Country_UK,0.0
Country_India,0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
Country_France,0.0
Country_China,0.0
Country_Brazil,0.0
Country_Australia,0.0
Country_Germany,0.0
Interest Rate (%)_multiply_Unemployment Rate (%),0.001652966132629974
Unemployment Rate (%)_ratio_Stock Index Value,0.0025380857429602166
GDP Growth Rate (%),0.005187103221572853
GDP Growth Rate (%)_diff_Unemployment Rate (%),0.00725518505015188
Interest Rate (%)_ratio_Stock Index Value,0.008492848403813147
Interest Rate (%),0.009635859618900433
GDP Growth Rate (%)_diff_Interest Rate (%),0.012691070542766436
Unemployment Rate (%),0.03598331525378988
