feature,mean_importance
Country_Germany,-0.06985822377246324
Unemployment Rate (%),-0.028550946873428053
Country_Brazil,-0.015434475971016326
Country_USA,-0.010817563669487006
Country_China,-0.010618506927450744
Country_Australia,-0.009097185576093469
Country_UK,-0.008959304824856008
Country_France,-0.00799419229899776
Country_Japan,-0.00271693801062971
GDP Growth Rate (%),0.0037067633723623537
Interest Rate (%),0.011861829105361266
Country_India,0.018485333605867415
Stock Index Value,0.020377702336475335
Country_Canada,0.032926179081589214
