feature,mean_importance
Country_India,-0.03725098258383972
Country_Japan,-0.034889492725486984
Country_Germany,-0.012918254491103287
Country_Brazil,-0.01205368091549235
Unemployment Rate (%),-0.009518068522137213
Country_France,-0.009036735279543162
Stock Index Value,-0.007215646322881408
Country_Australia,-0.006727599591578625
Country_China,-0.003915491042830422
Interest Rate (%),-0.002033212791675787
GDP Growth Rate (%),0.001553050772859299
Country_Canada,0.002027074296254483
Country_UK,0.00553180798785693
Country_USA,0.02887343495822443
