feature,mean_importance
Country_Australia,-0.0303675226684351
Country_Canada,-0.01994235438162486
Country_France,-0.008255814188827948
Country_USA,-0.006239605185379938
Country_China,-0.002390964013882746
Country_India,0.011010603990952461
GDP Growth Rate (%),0.01420906959872239
Interest Rate (%),0.017380361487557217
Country_Germany,0.017992931718257953
Country_Brazil,0.02970362231692203
Country_Japan,0.030301841350345506
Stock Index Value,0.04245401711404682
Country_UK,0.06919382035697723
Unemployment Rate (%),0.13018336697579153
