feature,shap_importance
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.04040964334850924
GDP Growth Rate (%)_ratio_Stock Index Value,0.034878412382168746
Stock Index Value_multiply_GDP Growth Rate (%),0.027750970001836003
Interest Rate (%)_sum_Unemployment Rate (%),0.027388970682931522
Interest Rate (%)_ratio_Stock Index Value,0.027130861639590637
Stock Index Value_ratio_GDP Growth Rate (%),0.02270880303515534
Unemployment Rate (%),0.02190728907087907
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.01653878892069147
GDP Growth Rate (%),0.010330443033042556
Interest Rate (%),0.007642968626857681
Stock Index Value_ratio_Interest Rate (%),0.006241236271907771
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.0013763692904414867
Country_Japan,0.0
Country_India,0.0
Country_USA,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Interest Rate (%)_multiply_GDP Growth Rate (%),0.0
Country_Australia,0.0
Stock Index Value,0.0
Country_UK,0.0
