feature,mean_importance
Unemployment Rate (%)_sum_GDP Growth Rate (%),-0.010125435547167294
Interest Rate (%),-0.008160772657042781
Interest Rate (%)_ratio_Stock Index Value,-0.00797238932172779
GDP Growth Rate (%),-0.007418822144256487
Stock Index Value_ratio_GDP Growth Rate (%),-0.0020568296851009695
Stock Index Value_ratio_Interest Rate (%),-0.00022689686944463717
Country_Canada,0.0
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.0
Interest Rate (%)_multiply_GDP Growth Rate (%),0.0
Stock Index Value,0.0
Country_Australia,0.0
Country_Brazil,0.0
Country_USA,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_UK,0.0
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.0015744070086036953
Stock Index Value_multiply_GDP Growth Rate (%),0.0019383733340282872
GDP Growth Rate (%)_ratio_Stock Index Value,0.007785960609233511
Interest Rate (%)_sum_Unemployment Rate (%),0.009513661783239202
Unemployment Rate (%),0.018378150649032986
