feature,mean_importance
Country_Australia,-0.005569163467089955
Country_Germany,-0.0036042701488009808
Stock Index Value,-0.0033094301843355155
Country_USA,-0.0029386262120242755
Country_India,-0.0001933240507050682
Country_China,0.0005041158784824696
Unemployment Rate (%),0.0005824978731525654
Country_France,0.0010590634638458552
Country_Japan,0.0015597023682413225
Country_Canada,0.004176852489400806
Country_Brazil,0.005342771791668244
Interest Rate (%),0.00557511007885203
GDP Growth Rate (%),0.006367775314293511
Country_UK,0.012384932257993798
