feature,mean_importance
Country_USA,-0.01401432875364601
Country_India,-0.004453398270933962
Country_Brazil,-0.002463228771278736
Country_Germany,-0.0016290147200497707
Country_Australia,-0.000525226747413976
Country_UK,0.0
Country_China,0.00017533307618564642
Country_France,0.0004837271419470213
Country_Japan,0.0004961262277775713
Country_Canada,0.0007886109937668362
Stock Index Value,0.004717331686443815
Interest Rate (%),0.03305888879027905
Unemployment Rate (%),0.04952168612438066
GDP Growth Rate (%),0.05000209023860554
