feature,shap_importance
Unemployment Rate (%),0.057306532656895046
GDP Growth Rate (%),0.0444846023745838
Interest Rate (%),0.039773966779300965
Stock Index Value,0.03828016560173023
Country_Canada,0.013427731293463698
Country_UK,0.006229093758026457
Country_Germany,0.004357805418102991
Country_USA,0.0022715522084062753
Country_Brazil,0.001995806596528138
Country_Australia,0.0008863089026485214
Country_China,0.0008058833277106061
Country_France,0.0007825999173282889
Country_India,0.0006063911287802242
Country_Japan,0.0004263984216583267
