feature,shap_importance
Interest Rate (%),0.06291485692454893
Unemployment Rate (%),0.062386670672213713
Stock Index Value,0.034245227790350954
GDP Growth Rate (%),0.01960505360377484
Country_Germany,0.015435183452576143
Country_USA,0.009803303505278053
Country_Brazil,0.005238460889956751
Country_France,0.004251061455107608
Country_India,0.003913242212358323
Country_Canada,0.002797002452953779
Country_Japan,0.002637080111069919
Country_UK,0.0013920520573873537
Country_China,0.0009865087073601974
Country_Australia,0.0
