feature,mean_importance
Stock Index Value,-0.038591927219525556
Country_India,-0.011058209603249925
Country_Canada,-0.0071361482611354
Country_Japan,-0.0030774359522839577
Interest Rate (%),-0.0022692216923988705
Unemployment Rate (%),-0.0010828977136879913
Country_UK,-0.00020661104061163725
Country_Germany,0.00038322445482470436
Country_China,0.0012102689183930426
Country_Australia,0.006139595275587384
Country_Brazil,0.010571512670311822
Country_France,0.010866255712996464
Country_USA,0.013627360245344144
GDP Growth Rate (%),0.02099538271240182
