feature,mean_importance
Country_Canada,-0.013752157043659308
Country_USA,-0.002018333668248795
Interest Rate (%),-0.0015900298447046879
Country_Brazil,-0.0012117465667344618
Country_France,-0.0006200860598145397
Country_UK,-0.00031792638954826203
Country_Germany,-3.447916206105184e-05
Country_India,0.0
Country_Japan,0.0
Country_China,0.0005525284037096956
Country_Australia,0.0008233067377459325
Stock Index Value,0.010159545751084664
Unemployment Rate (%),0.012866356576363102
GDP Growth Rate (%),0.06888671931496085
