feature,shap_importance
Interest Rate (%)_sum_Unemployment Rate (%),0.08452135
GDP Growth Rate (%)_ratio_Stock Index Value,0.06443131
Unemployment Rate (%),0.06155284
Stock Index Value_ratio_GDP Growth Rate (%),0.06146866
Interest Rate (%)_multiply_GDP Growth Rate (%),0.05530538
Stock Index Value,0.051696055
Interest Rate (%)_ratio_Stock Index Value,0.045308344
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.042981386
Stock Index Value_ratio_Interest Rate (%),0.04281029
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.03341116
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.033222616
Interest Rate (%),0.032220587
Stock Index Value_multiply_GDP Growth Rate (%),0.017592186
GDP Growth Rate (%),0.01025822
Country_USA,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Country_UK,0.0
