feature,shap_importance
Unemployment Rate (%),0.06089703839403756
GDP Growth Rate (%),0.046149200331945986
Interest Rate (%),0.03946933289921036
Stock Index Value,0.02048627469020945
Country_UK,0.004158451389791635
Country_Germany,0.002397633185447396
Country_Japan,0.0011976596023451868
Country_USA,0.0011669727238273614
Country_Australia,0.0010686371600186523
Country_India,0.0010501371075111933
Country_Canada,0.001016014304771652
Country_France,0.0007217458100932621
Country_China,0.0005939250051058099
Country_Brazil,0.0
