feature,shap_importance
Stock Index Value,0.014634114
Interest Rate (%)_multiply_GDP Growth Rate (%),0.013689261
Stock Index Value_multiply_GDP Growth Rate (%),0.01238124
Stock Index Value_ratio_GDP Growth Rate (%),0.00815331
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.008044333
Interest Rate (%)_ratio_Stock Index Value,0.006805746
Interest Rate (%)_sum_Unemployment Rate (%),0.0062503177
Interest Rate (%),0.004941642
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.0037581692
GDP Growth Rate (%),0.0
Country_USA,0.0
GDP Growth Rate (%)_ratio_Stock Index Value,0.0
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.0
Country_UK,0.0
Unemployment Rate (%),0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Stock Index Value_ratio_Interest Rate (%),0.0
