feature,mean_importance
Stock Index Value_multiply_GDP Growth Rate (%),-0.02077851707526297
Stock Index Value,-0.007179427726780397
Interest Rate (%)_sum_Unemployment Rate (%),-0.0032053450584036635
Stock Index Value_ratio_GDP Growth Rate (%),-0.0010632918369471334
Interest Rate (%)_ratio_Stock Index Value,-0.0005860000839326585
Unemployment Rate (%)_sum_GDP Growth Rate (%),-0.00043088351386959544
Interest Rate (%),-0.00013911509614010774
GDP Growth Rate (%),0.0
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.0
Country_USA,0.0
Country_UK,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Unemployment Rate (%),0.0
GDP Growth Rate (%)_ratio_Stock Index Value,0.0
Stock Index Value_ratio_Interest Rate (%),0.0
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.0025043440008551076
Interest Rate (%)_multiply_GDP Growth Rate (%),0.007577840947873504
